Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1669803706.638074,10867,1669803706,637868494,imu_link,0.08123812824487688,0.16662792861461642,-0.048739708960056305
1669803706.6434345,10868,1669803706,643128595,imu_link,0.07117765396833421,0.17419415712356567,-0.0665431395173073
1669803706.6497326,10869,1669803706,649373177,imu_link,0.05916626751422882,0.17862416803836825,-0.0707368776202202
1669803706.652912,10870,1669803706,652550544,imu_link,0.04639187827706338,0.1791832149028778,-0.08232267946004869
1669803706.6590152,10871,1669803706,658210625,imu_link,0.03031301498413086,0.17920926213264465,-0.10428334027528764
1669803706.6633306,10872,1669803706,662584461,imu_link,0.012320888228714468,0.17626532912254333,-0.11023060232400896
1669803706.6685102,10873,1669803706,667983497,imu_link,-0.007675452157855034,0.17505191266536715,-0.11966145783662797
1669803706.6747823,10874,1669803706,674361297,imu_link,-0.028836375102400783,0.1672622263431549,-0.14697591960430148
1669803706.6778643,10875,1669803706,677516805,imu_link,-0.05154817178845406,0.1561539322137833,-0.15763700008392334
1669803706.683267,10876,1669803706,682901186,imu_link,-0.0656377598643303,0.1520073115825653,-0.15268255770206454
1669803706.6885614,10877,1669803706,688226737,imu_link,-0.094228632748127,0.13987016677856445,-0.17189529538154602
1669803706.6926744,10878,1669803706,692397688,imu_link,-0.11485251039266588,0.12965208292007446,-0.19169555604457858
1669803706.698585,10879,1669803706,697924593,imu_link,-0.13535752892494202,0.12138193845748901,-0.19088815152645114
1669803706.703987,10880,1669803706,703406423,imu_link,-0.15016968548297885,0.11525511741638184,-0.2009873539209366
1669803706.7083428,10881,1669803706,707772473,imu_link,-0.16476291418075562,0.10842961817979814,-0.20750279724597934
1669803706.7136073,10882,1669803706,713232911,imu_link,-0.17716822028160095,0.10858090966939928,-0.20011171698570251
1669803706.7179594,10883,1669803706,717592353,imu_link,-0.19242371618747714,0.1047491952776909,-0.20462524890899658
1669803706.7248626,10884,1669803706,723072659,imu_link,-0.20684416592121127,0.10784031450748444,-0.22492907941341403
1669803706.7301831,10885,1669803706,729524800,imu_link,-0.2131842523813248,0.10032762587070465,-0.22874343395233154
1669803706.7334998,10886,1669803706,732793039,imu_link,-0.2218216359615326,0.10076656192541124,-0.22273489832878113
1669803706.7386568,10887,1669803706,738211188,imu_link,-0.22120501101017,0.10059186071157457,-0.23121502995491028
1669803706.7429008,10888,1669803706,742505479,imu_link,-0.22274647653102878,0.0996645987033844,-0.23103667795658114
1669803706.7482295,10889,1669803706,747837362,imu_link,-0.22521856427192688,0.10699788480997087,-0.22107236087322238
1669803706.7537053,10890,1669803706,753254374,imu_link,-0.23113428056240085,0.11002664268016815,-0.21989889442920688
1669803706.7577884,10891,1669803706,757415276,imu_link,-0.22848002612590793,0.12257302552461626,-0.21833845973014832
1669803706.7638445,10892,1669803706,763044023,imu_link,-0.2299622893333435,0.12452515214681627,-0.1980040967464447
1669803706.7680664,10893,1669803706,767472436,imu_link,-0.23404738306999207,0.13229246437549594,-0.19991026818752292
1669803706.7731862,10894,1669803706,772808535,imu_link,-0.22610186040401462,0.13656145334243774,-0.20314677059650424
1669803706.7785547,10895,1669803706,778163251,imu_link,-0.22160704433918002,0.1386314779520035,-0.1946282684803009
1669803706.7828171,10896,1669803706,782457581,imu_link,-0.21568648517131808,0.14623677730560303,-0.18717660009860995
1669803706.7879364,10897,1669803706,787713123,imu_link,-0.20665401220321655,0.15741105377674106,-0.18521772325038913
1669803706.7933288,10898,1669803706,792989065,imu_link,-0.19855403900146484,0.16376592218875888,-0.16642260551452637
1669803706.7991133,10899,1669803706,798413379,imu_link,-0.1859530806541443,0.17119184136390686,-0.16516490280628207
1669803706.8033793,10900,1669803706,802755645,imu_link,-0.17418134212493896,0.17667324841022494,-0.160861074924469
1669803706.8085444,10901,1669803706,808082111,imu_link,-0.1620977222919464,0.17485056817531588,-0.14797724783420566
1669803706.8147907,10902,1669803706,814399750,imu_link,-0.1543271541595459,0.1768167465925217,-0.1377546191215515
1669803706.817854,10903,1669803706,817521355,imu_link,-0.14543884992599487,0.17194703221321106,-0.1494622975587845
1669803706.8231435,10904,1669803706,822888697,imu_link,-0.1304146945476532,0.16908545792102816,-0.14870896935462952
1669803706.8285155,10905,1669803706,828230954,imu_link,-0.12491334974765778,0.1666064411401749,-0.13065831363201144
1669803706.8328335,10906,1669803706,832573794,imu_link,-0.12142249941825867,0.16579751670360568,-0.12768876552581787
1669803706.8387942,10907,1669803706,838022868,imu_link,-0.1162148341536522,0.16052450239658358,-0.13089901208877563
1669803706.8451815,10908,1669803706,844509067,imu_link,-0.1101839542388916,0.15414305031299594,-0.1144087016582489
1669803706.8480058,10909,1669803706,847649609,imu_link,-0.10461736470460893,0.15057337284088135,-0.10720472037792206
1669803706.8534138,10910,1669803706,852996358,imu_link,-0.10248998552560808,0.1462257206439972,-0.10373998433351518
1669803706.8586154,10911,1669803706,858307627,imu_link,-0.10213332623243333,0.14242960512638095,-0.0855521708726883
1669803706.8634691,10912,1669803706,862699132,imu_link,-0.1004280522465706,0.13573390245437622,-0.07268314808607103
1669803706.8689559,10913,1669803706,868263319,imu_link,-0.0989067628979683,0.1331424117088318,-0.07321673631668091
1669803706.8730824,10914,1669803706,872507949,imu_link,-0.09846008569002153,0.1272188127040863,-0.057032901793718345
1669803706.8783724,10915,1669803706,877826623,imu_link,-0.09679842740297319,0.12466690689325334,-0.038566239178180695
1669803706.8842967,10916,1669803706,883387339,imu_link,-0.09747916460037231,0.12306610494852067,-0.02524099126458168
1669803706.8885431,10917,1669803706,887691390,imu_link,-0.0958152562379837,0.11965540796518327,-0.004173063207417727
1669803706.8936012,10918,1669803706,893114229,imu_link,-0.09640663862228394,0.11791209131479265,0.01754855364561081
1669803706.8997204,10919,1669803706,899381055,imu_link,-0.09400134533643724,0.10945387929677965,0.02990356832742691
1669803706.9028187,10920,1669803706,902508052,imu_link,-0.09452265501022339,0.1055625006556511,0.040787018835544586
1669803706.9091408,10921,1669803706,907959945,imu_link,-0.09356407821178436,0.10110194236040117,0.06031986698508263
1669803706.915382,10922,1669803706,914581635,imu_link,-0.09362705051898956,0.08943369239568712,0.07102863490581512
1669803706.9182618,10923,1669803706,917701601,imu_link,-0.09225068986415863,0.0765279084444046,0.07836764305830003
1669803706.9235475,10924,1669803706,923064599,imu_link,-0.09411896765232086,0.06751502305269243,0.09002894163131714
1669803706.9298131,10925,1669803706,929408445,imu_link,-0.08911675959825517,0.058014437556266785,0.10669460892677307
1669803706.9329476,10926,1669803706,932583261,imu_link,-0.08260183036327362,0.038393396884202964,0.1173195093870163
1669803706.9381464,10927,1669803706,937863352,imu_link,-0.08035583794116974,0.027572236955165863,0.1399275213479996
1669803706.943789,10928,1669803706,943234650,imu_link,-0.08066365122795105,0.0021166994702070956,0.15177765488624573
1669803706.9483674,10929,1669803706,947589826,imu_link,-0.07605758309364319,-0.02004337497055531,0.14973740279674533
1669803706.953831,10930,1669803706,953237137,imu_link,-0.07275053858757019,-0.04161578044295312,0.1472834348678589
1669803706.958053,10931,1669803706,957627759,imu_link,-0.06660996377468109,-0.07448485493659973,0.1548135429620743
1669803706.9633281,10932,1669803706,962983293,imu_link,-0.06411961466073991,-0.1052522361278534,0.1481338292360306
1669803706.9697862,10933,1669803706,969466895,imu_link,-0.05620037764310837,-0.13449703156948092,0.14490823447704318
1669803706.9730046,10934,1669803706,972632462,imu_link,-0.05556622892618179,-0.15941198170185092,0.1438712775707245
1669803706.9789321,10935,1669803706,978226165,imu_link,-0.050725795328617096,-0.18772542476654053,0.1345927864313126
1669803706.9831908,10936,1669803706,982539082,imu_link,-0.04263093322515488,-0.210019126534462,0.11963534355163574
1669803706.988364,10937,1669803706,987855077,imu_link,-0.04067809134721756,-0.229471430182457,0.12697504460811618
1669803706.9935546,10938,1669803706,993213769,imu_link,-0.03284095600247384,-0.25073742866516113,0.14597441256046298
1669803706.9978786,10939,1669803706,997536312,imu_link,-0.029385851696133617,-0.2502232491970063,0.14937159419059753
1669803707.0032556,10940,1669803707,2891834,imu_link,-0.02839067578315735,-0.2555659115314484,0.14906391501426697
1669803707.008644,10941,1669803707,8215072,imu_link,-0.02332598716020584,-0.258969932794571,0.14878357946872714
1669803707.0129104,10942,1669803707,12499269,imu_link,-0.022483116015791896,-0.258020281791687,0.14972014725208285
1669803707.0187318,10943,1669803707,17972977,imu_link,-0.021863711997866634,-0.24991245567798617,0.1497076153755188
1669803707.0252297,10944,1669803707,24484596,imu_link,-0.020571006461977962,-0.24102962017059326,0.15940310060977939
1669803707.0282362,10945,1669803707,27729287,imu_link,-0.020950486883521083,-0.23027381300926208,0.1525152325630188
1669803707.033436,10946,1669803707,33064532,imu_link,-0.027269478887319565,-0.20986552536487582,0.16339054703712463
1669803707.0399911,10947,1669803707,39530813,imu_link,-0.02579374983906746,-0.195259690284729,0.1762388199567795
1669803707.0431368,10948,1669803707,42766681,imu_link,-0.02965724840760231,-0.17490272223949435,0.17281946539878845
1669803707.0484357,10949,1669803707,48142601,imu_link,-0.036288503557443626,-0.15948474407196045,0.1770525574684143
1669803707.0527034,10950,1669803707,52457313,imu_link,-0.04182444512844086,-0.14610509574413302,0.18528035283088684
1669803707.058699,10951,1669803707,58090158,imu_link,-0.050744224339723594,-0.14053840935230258,0.17671149969100952
1669803707.0650558,10952,1669803707,64498379,imu_link,-0.05762600898742676,-0.13207037746906283,0.17486295104026794
1669803707.0682766,10953,1669803707,67763545,imu_link,-0.06539840251207353,-0.13322040438652039,0.1843683123588562
1669803707.0736125,10954,1669803707,73098006,imu_link,-0.07079634815454484,-0.12982258200645447,0.18710641562938693
